requirement_id,company_id,skill_name,importance
1,1,Java,61
2,1,SQL,84
3,1,Communication,80
4,2,Java,61
5,2,SQL,84
6,2,Excel,74
7,3,Python,88
8,3,SQL,84
9,3,Power BI,72
10,4,Cloud Basics,52
11,4,Python,88
12,4,Communication,80
13,5,Excel,74
14,5,Power BI,72
15,5,Communication,80
16,6,Java,61
17,6,React,56
18,6,SQL,84
19,7,Java,61
20,7,SQL,84
21,7,Communication,80
22,8,Python,88
23,8,SQL,84
24,8,Machine Learning,59
25,9,Java,61
26,9,SQL,84
27,9,Cloud Basics,52
28,10,Java,61
29,10,Cloud Basics,52
30,10,Communication,80
